pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
322.50983400000047,14H 54M -5S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53635,Wed,Mar,03,2021,48,87,57,534,62,51,51,541,ECOV2-B00206,1024,58,50,29452,58,108,54,29452,108,55,50,28770,55,331,70,29581,331,13.84,03 Mar 2021
323.2138180000004,14H 54M -4S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53636,Wed,Mar,03,2021,45,86,57,534,58,51,54,541,ECOV2-B00206,1025,57,50,29447,57,111,53,29453,111,56,50,28765,56,330,70,29568,330,13.82,03 Mar 2021
323.82128100000034,14H 54M -3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53637,Wed,Mar,03,2021,45,86,57,534,NA,NA,NA,NA,ECOV2-B00206,1026,58,50,29449,58,105,53,29450,105,55,51,28764,55,330,71,29573,330,13.83,03 Mar 2021
324.89850800000033,14H 54M -1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53639,Wed,Mar,03,2021,48,92,57,534,62,49,53,541,ECOV2-B00206,1028,58,50,29450,58,103,52,29444,103,54,50,28762,54,329,71,NA,NA,NA,03 Mar 2021
324.89850800000033,14H 54M -1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53639,Wed,Mar,03,2021,48,92,57,534,62,49,53,541,ECOV2-B00206,1029,58,51,29440,58,108,53,29443,108,54,50,28770,54,329,70,29576,329,13.83,03 Mar 2021
324.89850800000033,14H 54M -1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53639,Wed,Mar,03,2021,48,92,57,534,51,58,53,29443,ECOV2-B00206,1028,58,50,29450,58,103,52,29444,103,54,50,28762,54,329,71,NA,NA,NA,03 Mar 2021
324.89850800000033,14H 54M -1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53639,Wed,Mar,03,2021,48,92,57,534,51,58,53,29443,ECOV2-B00206,1029,58,51,29440,58,108,53,29443,108,54,50,28770,54,329,70,29576,329,13.83,03 Mar 2021
325.4845410000004,14H 54M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53640,Wed,Mar,03,2021,48,86,57,534,62,49,52,541,ECOV2-B00206,1030,58,50,29455,58,112,53,29442,112,55,50,28766,55,329,70,29567,329,13.84,03 Mar 2021
326.1602460000004,14H 54M 1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53641,Wed,Mar,03,2021,47,88,57,534,62,52,50,541,ECOV2-B00206,1031,59,50,29443,59,102,53,29449,102,54,50,28756,54,330,70,29571,330,13.83,03 Mar 2021
326.87791000000044,14H 54M 2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53642,Wed,Mar,03,2021,46,87,57,534,59,52,54,541,ECOV2-B00206,1032,59,50,29460,59,103,53,29443,103,54,50,28746,54,328,68,29558,328,13.82,03 Mar 2021
327.5165330000004,14H 54M 3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53643,Wed,Mar,03,2021,46,85,57,534,60,48,56,541,ECOV2-B00206,1033,58,50,29447,58,111,53,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
328.0202400000003,14H 54M 4S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53644,Wed,Mar,03,2021,45,87,57,534,59,47,52,541,ECOV2-B00206,1034,58,51,29450,58,105,53,29452,105,54,50,28767,54,329,70,29561,329,13.83,03 Mar 2021
328.52015500000033,14H 54M 5S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53645,Wed,Mar,03,2021,47,88,57,534,61,50,52,541,ECOV2-B00206,1035,57,50,29446,57,101,53,29441,101,55,50,28750,55,329,71,29565,329,13.84,03 Mar 2021
329.1944640000005,14H 54M 6S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53646,Wed,Mar,03,2021,48,91,57,534,62,50,51,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
330.5608790000003,14H 54M 8S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53648,Wed,Mar,03,2021,46,86,57,534,58,49,52,541,ECOV2-B00206,1038,61,50,29444,61,105,52,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
330.9109050000002,14H 54M 9S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53649,Wed,Mar,03,2021,47,85,57,534,62,50,50,541,ECOV2-B00206,1039,58,51,29447,58,104,52,29438,104,53,50,28749,53,329,70,29558,329,13.83,03 Mar 2021
331.42586800000043,14H 54M 10S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53650,Wed,Mar,03,2021,47,90,57,534,60,50,52,541,ECOV2-B00206,1040,57,50,29445,57,104,53,29441,104,54,51,28754,54,329,69,29566,329,13.83,03 Mar 2021
332.2151440000006,14H 54M 11S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53651,Wed,Mar,03,2021,44,86,57,534,62,52,53,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
333.01506100000046,14H 54M 12S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53652,Wed,Mar,03,2021,49,89,56,534,50,59,53,29444,ECOV2-B00206,1041,59,50,29452,59,103,52,29434,103,56,50,28748,56,330,71,29560,330,13.83,03 Mar 2021
333.01506100000046,14H 54M 12S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53652,Wed,Mar,03,2021,49,89,56,534,50,59,53,29444,ECOV2-B00206,1042,59,50,29440,59,108,53,29444,108,55,50,28740,55,330,71,29552,330,13.84,03 Mar 2021
333.6034080000003,14H 54M 13S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53653,Wed,Mar,03,2021,46,84,56,534,61,50,57,541,ECOV2-B00206,1043,60,50,29434,60,102,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
333.9795100000002,14H 54M 14S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53654,Wed,Mar,03,2021,45,81,57,534,60,49,52,541,ECOV2-B00206,1044,59,50,29439,59,100,52,29435,100,55,50,28750,55,330,70,29551,330,13.83,03 Mar 2021
334.4572720000004,14H 54M 15S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53655,Wed,Mar,03,2021,47,90,57,534,59,51,54,541,ECOV2-B00206,1045,58,50,29439,58,131,55,29438,131,54,50,28748,54,329,70,29555,329,13.82,03 Mar 2021
335.9643980000004,14H 54M 17S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53657,Wed,Mar,03,2021,47,85,57,534,59,50,56,541,ECOV2-B00206,1047,55,50,29437,55,110,53,29437,110,54,50,28738,54,329,71,29555,329,13.83,03 Mar 2021
336.4914250000003,14H 54M 18S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53658,Wed,Mar,03,2021,48,89,57,534,60,50,53,541,ECOV2-B00206,1048,58,50,29437,58,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
337.0336500000004,14H 54M 19S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53659,Wed,Mar,03,2021,45,86,57,534,59,47,51,541,ECOV2-B00206,1049,59,50,29446,59,105,54,29436,105,52,50,28743,52,328,70,29550,328,13.83,03 Mar 2021
337.67010400000044,14H 54M 20S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53660,Wed,Mar,03,2021,47,86,57,534,60,50,53,541,ECOV2-B00206,1050,56,50,29430,56,103,53,29433,103,53,50,28735,53,328,70,29551,328,13.83,03 Mar 2021
338.1945930000003,14H 54M 21S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53661,Wed,Mar,03,2021,46,88,57,534,62,51,52,541,ECOV2-B00206,1051,59,51,29440,59,110,55,29423,110,52,50,28734,52,328,71,29553,328,13.84,03 Mar 2021
338.1945930000003,14H 54M 21S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53661,Wed,Mar,03,2021,46,88,57,534,51,59,55,29423,ECOV2-B00206,1051,59,51,29440,59,110,55,29423,110,52,50,28734,52,328,71,29553,328,13.84,03 Mar 2021
338.7510700000004,14H 54M 22S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53662,Wed,Mar,03,2021,46,85,56,534,60,54,57,541,ECOV2-B00206,1052,61,51,29434,61,104,54,29430,104,53,50,28731,53,328,69,29550,328,13.83,03 Mar 2021
339.50234600000056,14H 54M 23S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53663,Wed,Mar,03,2021,46,86,57,534,58,49,53,541,ECOV2-B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
340.69363500000026,14H 54M 25S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53665,Wed,Mar,03,2021,47,86,57,534,60,50,52,541,ECOV2-B00206,1055,59,50,29434,59,104,53,29427,104,54,51,28723,54,330,70,29539,330,13.83,03 Mar 2021
341.1536430000003,14H 54M 26S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53666,Wed,Mar,03,2021,45,90,57,534,63,51,53,541,ECOV2-B00206,1056,58,50,29426,58,126,55,29427,126,55,50,28740,55,328,71,29545,328,13.83,03 Mar 2021
341.6955160000004,14H 54M 27S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53667,Wed,Mar,03,2021,48,88,57,534,59,53,56,541,ECOV2-B00206,1057,58,50,29424,58,114,54,29435,114,55,50,28730,55,330,71,29552,330,13.83,03 Mar 2021
341.6955160000004,14H 54M 27S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53667,Wed,Mar,03,2021,50,58,54,29435,59,53,56,541,ECOV2-B00206,1057,58,50,29424,58,114,54,29435,114,55,50,28730,55,330,71,29552,330,13.83,03 Mar 2021
341.6955160000004,14H 54M 27S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53667,Wed,Mar,03,2021,59,53,56,541,59,53,56,541,ECOV2-B00206,1057,58,50,29424,58,114,54,29435,114,55,50,28730,55,330,71,29552,330,13.83,03 Mar 2021
342.36289300000044,14H 54M 28S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53668,Wed,Mar,03,2021,48,87,56,534,55,28729,330,70,ECOV2-B00206,1058,57,50,29432,57,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
342.36289300000044,14H 54M 28S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53668,Wed,Mar,03,2021,48,87,56,534,57,50,56,541,ECOV2-B00206,1058,57,50,29432,57,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
343.07296900000046,14H 54M 29S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53669,Wed,Mar,03,2021,44,85,57,534,NA,NA,NA,NA,ECOV2-B00206,1059,57,50,29431,57,103,53,29426,103,53,50,28727,53,330,71,29546,330,13.84,03 Mar 2021
343.6864240000004,14H 54M 30S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53670,Wed,Mar,03,2021,48,87,57,534,63,50,53,541,ECOV2-B00206,1060,59,51,29423,59,106,52,29430,106,54,50,28724,54,328,70,29545,328,13.83,03 Mar 2021
344.23511300000035,14H 54M 31S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53671,Wed,Mar,03,2021,48,90,57,534,61,50,54,541,ECOV2-B00206,1061,59,50,29432,59,103,53,29439,103,55,50,28722,55,329,70,29554,329,13.83,03 Mar 2021
344.8318770000004,14H 54M 32S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53672,Wed,Mar,03,2021,45,84,57,534,60,50,52,541,ECOV2-B00206,1062,59,49,29419,59,126,55,29425,126,56,50,28726,56,329,71,29543,329,13.83,03 Mar 2021
345.43553300000036,14H 54M 33S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53673,Wed,Mar,03,2021,47,85,58,534,60,48,54,541,ECOV2-B00206,1063,59,50,29428,59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
345.9574750000003,14H 54M 34S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53674,Wed,Mar,03,2021,46,86,57,534,61,50,52,541,ECOV2-B00206,1064,58,50,29430,58,105,53,29430,105,52,50,28720,52,330,71,29534,330,13.83,03 Mar 2021
