pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
76.2113019999994,9H 6M 42S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32802,Fri,Apr,09,2021,54,95,57,534,52,54,54,ECOV2-B00206,260,61,50,29338,61,107,53,29363,107,57,50,28569,57,291,67,29480,291,13.81,09 Apr 2021
75.50097899999967,9H 6M 43S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32803,Fri,Apr,09,2021,51,102,57,534,54,57,52,ECOV2-B00206,261,64,50,29327,64,111,53,29375,111,61,50,28569,61,293,68,29485,293,13.81,09 Apr 2021
74.95881999999962,9H 6M 44S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32804,Fri,Apr,09,2021,53,97,57,534,58,55,52,ECOV2-B00206,262,66,51,29340,66,112,54,29380,112,63,51,28571,63,296,67,29492,296,13.81,09 Apr 2021
74.95881999999962,9H 6M 44S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32804,Fri,Apr,09,2021,53,97,57,534,58,55,52,ECOV2-B00206,263,65,51,29337,65,111,53,29372,111,62,50,28577,62,293,68,29485,293,13.82,09 Apr 2021
74.20688999999942,9H 6M 45S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32805,Fri,Apr,09,2021,52,99,57,534,58,59,50,ECOV2-B00206,264,66,51,29331,66,111,54,29363,111,61,50,28568,61,297,68,29492,297,13.82,09 Apr 2021
73.28751199999941,9H 6M 46S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32806,Fri,Apr,09,2021,56,110,57,534,57,54,51,ECOV2-B00206,265,67,51,29331,67,114,54,29369,114,63,52,28574,63,296,68,29488,296,13.82,09 Apr 2021
72.3516969999994,9H 6M 47S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32807,Fri,Apr,09,2021,57,103,56,534,56,58,50,ECOV2-B00206,266,69,50,29335,69,113,54,29366,113,66,51,28567,66,296,68,29489,296,13.81,09 Apr 2021
71.3170009999993,9H 6M 48S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32808,Fri,Apr,09,2021,58,102,56,534,54,63,56,ECOV2-B00206,267,68,51,29334,68,114,53,29363,114,65,52,28561,65,296,67,29472,296,13.82,09 Apr 2021
69.31798099999953,9H 6M 50S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32810,Fri,Apr,09,2021,58,98,NA,NA,56,60,59,ECOV2-B00206,269,70,52,29324,70,114,53,29363,114,64,51,28562,64,299,69,29475,299,13.8,09 Apr 2021
68.73215499999972,9H 6M 51S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32811,Fri,Apr,09,2021,56,98,56,534,57,60,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09 Apr 2021
68.21369399999963,9H 6M 52S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32812,Fri,Apr,09,2021,57,97,56,534,56,61,56,ECOV2-B00206,270,71,52,29326,71,114,55,29373,114,67,50,28568,67,297,68,29477,297,13.82,09 Apr 2021
67.56256899999954,9H 6M 53S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32813,Fri,Apr,09,2021,59,104,57,534,NA,NA,NA,ECOV2-B00206,271,73,50,29326,73,118,55,29365,118,71,52,28557,71,293,68,29478,293,13.82,09 Apr 2021
67.56256899999954,9H 6M 53S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32813,Fri,Apr,09,2021,59,104,57,534,NA,NA,NA,ECOV2-B00206,272,76,50,29320,76,120,54,29366,120,71,51,28569,71,295,68,29477,295,13.82,09 Apr 2021
66.83489699999951,9H 6M 54S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32814,Fri,Apr,09,2021,59,105,57,534,58,60,56,ECOV2-B00206,273,75,52,29327,75,114,53,29368,114,72,51,28575,72,282,67,29478,282,13.82,09 Apr 2021
66.02781399999944,9H 6M 55S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32815,Fri,Apr,09,2021,62,98,57,534,62,6,NA,ECOV2-B00206,274,68,51,29326,68,114,53,29360,114,67,50,28566,67,279,67,29471,279,13.8,09 Apr 2021
65.14097399999942,9H 6M 56S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32816,Fri,Apr,09,2021,62,100,56,534,67,66,52,ECOV2-B00206,275,68,51,29327,68,111,53,29363,111,71,50,28562,71,280,67,29479,280,13.81,09 Apr 2021
64.36991299999958,9H 6M 57S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32817,Fri,Apr,09,2021,66,106,57,534,69,70,51,ECOV2-B00206,276,68,50,29317,68,102,52,29360,102,66,50,28565,66,267,66,29479,267,13.8,09 Apr 2021
63.022459999999526,9H 6M 59S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32819,Fri,Apr,09,2021,67,105,56,534,70,73,53,ECOV2-B00206,278,49,50,29334,49,90,51,29362,90,50,49,28569,50,222,65,29481,222,13.78,09 Apr 2021
62.39707999999967,9H 7M 0S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32820,Fri,Apr,09,2021,66,NA,NA,NA,68,71,57,ECOV2-B00206,279,52,50,29324,52,86,52,29363,86,57,50,28565,57,221,65,29466,221,13.78,09 Apr 2021
61.907818999999705,9H 7M 1S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32821,Fri,Apr,09,2021,70,102,55,534,70,72,56,ECOV2-B00206,280,79,51,29329,79,112,54,29361,112,79,52,28566,79,282,67,29470,282,13.79,09 Apr 2021
61.300417999999524,9H 7M 2S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32822,Fri,Apr,09,2021,73,101,55,534,69,71,58,ECOV2-B00206,281,89,52,29321,89,117,55,29367,117,91,53,28559,91,293,68,29464,293,13.82,09 Apr 2021
60.58029999999955,9H 7M 3S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32823,Fri,Apr,09,2021,73,99,56,534,68,69,55,ECOV2-B00206,282,87,52,29320,87,116,53,29371,116,85,52,28571,85,288,68,29473,288,13.81,09 Apr 2021
60.0798429999998,9H 7M 4S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32824,Fri,Apr,09,2021,73,97,55,534,67,73,56,ECOV2-B00206,283,88,51,29315,88,114,54,29356,114,86,51,28552,86,285,NA,NA,NA,NA,09 Apr 2021
59.948840000000025,9H 7M 5S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32825,Fri,Apr,09,2021,75,104,56,534,68,76,55,ECOV2-B00206,284,88,52,29329,88,116,54,29364,116,91,52,28549,91,291,68,29469,291,13.81,09 Apr 2021
59.97227700000003,9H 7M 7S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32827,Fri,Apr,09,2021,75,105,57,534,NA,NA,NA,ECOV2-B00206,286,90,52,29319,90,123,56,29354,123,88,52,28554,88,294,68,29470,294,13.82,09 Apr 2021
59.97227700000003,9H 7M 7S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32827,Fri,Apr,09,2021,71,101,56,534,NA,NA,NA,ECOV2-B00206,286,90,52,29319,90,123,56,29354,123,88,52,28554,88,294,68,29470,294,13.82,09 Apr 2021
60.039563,9H 7M 9S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32829,Fri,Apr,09,2021,72,102,56,534,NA,NA,NA,ECOV2-B00206,288,88,52,29320,88,118,54,29350,118,88,51,28547,88,290,67,29470,290,13.82,09 Apr 2021
59.99410999999994,9H 7M 10S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32830,Fri,Apr,09,2021,72,102,56,534,470,532,541,ECOV2-B00206,289,87,51,29317,87,117,55,29360,117,84,51,28559,84,293,67,29462,293,13.82,09 Apr 2021
59.938495999999986,9H 7M 11S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32831,Fri,Apr,09,2021,73,103,56,534,73,74,54,ECOV2-B00206,290,87,51,29316,87,116,55,29362,116,88,52,28551,88,293,67,29467,293,13.82,09 Apr 2021
59.955655000000036,9H 7M 12S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32832,Fri,Apr,09,2021,74,100,56,534,68,74,56,ECOV2-B00206,291,90,51,29312,90,121,55,29356,121,88,51,28543,88,294,67,29467,294,13.82,09 Apr 2021
