pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
342.803,11H 46M 41S,NA,NA,NA,NA,NA,42401,Fri,Jun,11,2021,44,87,56,533,59,51,55,11 Jun 2021
341.695,11H 46M 43S,NA,NA,NA,NA,NA,42403,Fri,Jun,11,2021,45,90,57,533,62,50,48,11 Jun 2021
341.695,11H 46M 43S,NA,NA,NA,NA,NA,42403,Fri,Jun,11,2021,62,50,48,540,62,50,48,11 Jun 2021
340.961,11H 46M 44S,NA,NA,NA,NA,NA,42404,Fri,Jun,11,2021,43,87,57,533,63,45,50,11 Jun 2021
340.416,11H 46M 45S,NA,NA,NA,NA,NA,42405,Fri,Jun,11,2021,46,87,57,533,61,46,48,11 Jun 2021
339.942,11H 46M 46S,NA,NA,NA,NA,NA,42406,Fri,Jun,11,2021,45,89,57,533,62,46,50,11 Jun 2021
339.343,11H 46M 47S,NA,NA,NA,NA,NA,42407,Fri,Jun,11,2021,47,88,57,533,66,46,49,11 Jun 2021
338.668,11H 46M 48S,NA,NA,NA,NA,NA,42408,Fri,Jun,11,2021,47,86,57,533,470,532,540,11 Jun 2021
338.03,11H 46M 49S,NA,NA,NA,NA,NA,42409,Fri,Jun,11,2021,43,87,57,533,64,46,49,11 Jun 2021
337.555,11H 46M 50S,NA,NA,NA,NA,NA,42410,Fri,Jun,11,2021,44,85,57,533,62,47,51,11 Jun 2021
336.355,11H 46M 52S,NA,NA,NA,NA,NA,42412,Fri,Jun,11,2021,45,84,57,533,62,48,50,11 Jun 2021
335.82,11H 46M 53S,NA,NA,NA,NA,NA,42413,Fri,Jun,11,2021,48,87,56,533,60,50,51,11 Jun 2021
335.209,11H 46M 54S,NA,NA,NA,NA,NA,42414,Fri,Jun,11,2021,49,88,56,533,62,53,56,11 Jun 2021
333.963,11H 46M 56S,NA,NA,NA,NA,NA,42416,Fri,Jun,11,2021,45,83,57,533,59,47,53,11 Jun 2021
333.46,11H 46M 57S,NA,NA,NA,NA,NA,42417,Fri,Jun,11,2021,46,96,57,533,59,47,52,11 Jun 2021
332.9,11H 46M 58S,NA,NA,NA,NA,NA,42418,Fri,Jun,11,2021,46,89,56,533,57,50,53,11 Jun 2021
332.225,11H 46M 59S,NA,NA,NA,NA,NA,42419,Fri,Jun,11,2021,47,88,56,533,63,51,56,11 Jun 2021
331.66,11H 47M 0S,NA,NA,NA,NA,NA,42420,Fri,Jun,11,2021,47,NA,NA,NA,64,50,53,11 Jun 2021
330.458,11H 47M 2S,NA,NA,NA,NA,NA,42422,Fri,Jun,11,2021,46,83,56,533,58,48,53,11 Jun 2021
329.861,11H 47M 3S,NA,NA,NA,NA,NA,42423,Fri,Jun,11,2021,46,86,57,533,57,48,54,11 Jun 2021
329.397,11H 47M 4S,NA,NA,NA,NA,NA,42424,Fri,Jun,11,2021,45,89,57,533,59,49,55,11 Jun 2021
328.859,11H 47M 5S,NA,NA,NA,NA,NA,42425,Fri,Jun,11,2021,46,90,57,533,58,52,51,11 Jun 2021
328.163,11H 47M 6S,NA,NA,NA,NA,NA,42426,Fri,Jun,11,2021,47,105,56,533,65,50,56,11 Jun 2021
327.553,11H 47M 7S,NA,NA,NA,NA,NA,42427,Fri,Jun,11,2021,48,88,56,533,60,45,55,11 Jun 2021
327.065,11H 47M 8S,NA,NA,NA,NA,NA,42428,Fri,Jun,11,2021,46,85,56,533,59,49,54,11 Jun 2021
325.802,11H 47M 10S,NA,NA,NA,NA,NA,42430,Fri,Jun,11,2021,48,86,56,533,59,48,52,11 Jun 2021
324.81,11H 47M 12S,NA,NA,NA,NA,NA,42432,Fri,Jun,11,2021,44,87,57,533,59,49,51,11 Jun 2021
324.168,11H 47M 13S,NA,NA,NA,NA,NA,42433,Fri,Jun,11,2021,47,89,NA,NA,62,50,52,11 Jun 2021
323.473,11H 47M 14S,NA,NA,NA,NA,NA,42434,Fri,Jun,11,2021,46,91,56,533,64,50,52,11 Jun 2021
322.881,11H 47M 15S,NA,NA,NA,NA,NA,42435,Fri,Jun,11,2021,47,86,56,533,62,50,56,11 Jun 2021
322.48,11H 47M 16S,NA,NA,NA,NA,NA,42436,Fri,Jun,11,2021,46,92,57,533,61,50,56,11 Jun 2021
321.933,11H 47M 17S,NA,NA,NA,NA,NA,42437,Fri,Jun,11,2021,46,89,57,533,61,50,50,11 Jun 2021
321.148,11H 47M 18S,NA,NA,NA,NA,NA,42438,Fri,Jun,11,2021,48,90,57,533,62,49,51,11 Jun 2021
320.169,11H 47M 20S,NA,NA,NA,NA,NA,42440,Fri,Jun,11,2021,48,95,57,533,48,95,57,11 Jun 2021
320.169,11H 47M 20S,NA,NA,NA,NA,NA,42440,Fri,Jun,11,2021,48,95,57,533,62,49,54,11 Jun 2021
319.54,11H 47M 21S,NA,NA,NA,NA,NA,42441,Fri,Jun,11,2021,47,88,55,533,61,50,55,11 Jun 2021
318.828,11H 47M 22S,NA,NA,NA,NA,NA,42442,Fri,Jun,11,2021,45,87,55,533,59,50,54,11 Jun 2021
318.283,11H 47M 23S,NA,NA,NA,NA,NA,42443,Fri,Jun,11,2021,44,92,57,533,61,50,51,11 Jun 2021
317.76,11H 47M 24S,NA,NA,NA,NA,NA,42444,Fri,Jun,11,2021,47,88,57,533,60,50,52,11 Jun 2021
317.151,11H 47M 25S,NA,NA,NA,NA,NA,42445,Fri,Jun,11,2021,46,91,56,533,61,52,51,11 Jun 2021
316.529,11H 47M 26S,NA,NA,NA,NA,NA,42446,Fri,Jun,11,2021,44,85,56,533,57,49,56,11 Jun 2021
314.793,11H 47M 29S,NA,NA,NA,NA,NA,42449,Fri,Jun,11,2021,47,90,57,533,61,47,53,11 Jun 2021
314.206,11H 47M 30S,NA,NA,NA,NA,NA,42450,Fri,Jun,11,2021,45,86,57,533,62,48,50,11 Jun 2021
313.546,11H 47M 31S,NA,NA,NA,NA,NA,42451,Fri,Jun,11,2021,48,98,57,533,62,52,53,11 Jun 2021
312.964,11H 47M 32S,NA,NA,NA,NA,NA,42452,Fri,Jun,11,2021,47,93,56,533,61,50,54,11 Jun 2021
312.493,11H 47M 33S,NA,NA,NA,NA,NA,42453,Fri,Jun,11,2021,47,87,56,533,60,49,51,11 Jun 2021
311.917,11H 47M 34S,NA,NA,NA,NA,NA,42454,Fri,Jun,11,2021,48,86,56,533,60,47,52,11 Jun 2021
