pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
85.06012000000047,13H 37M 27S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49047,Wed,Mar,03,2021,141,168,56,534,119,146,58,540,ECOV2-B00206,585,226,65,29843,226,211,65,29719,211,240,66,29360,240,302,68,29957,302,13.82,03 Mar 2021
85.74886000000042,13H 37M 28S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49048,Wed,Mar,03,2021,145,180,56,534,118,156,59,540,ECOV2-B00206,586,227,64,29846,227,202,63,29725,202,225,65,29357,225,301,68,29959,301,13.82,03 Mar 2021
86.87018900000032,13H 37M 30S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49050,Wed,Mar,03,2021,137,174,56,534,116,146,60,540,ECOV2-B00206,588,211,64,29835,211,222,65,29711,222,219,65,29344,219,300,68,29950,300,13.82,03 Mar 2021
87.36929000000032,13H 37M 31S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49051,Wed,Mar,03,2021,141,162,56,534,122,136,56,540,ECOV2-B00206,589,206,63,29834,206,197,62,29708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03 Mar 2021
87.8514750000003,13H 37M 32S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49052,Wed,Mar,03,2021,140,169,55,534,116,139,57,540,ECOV2-B00206,590,208,64,29837,208,198,63,29714,198,201,64,29340,201,301,67,29941,301,13.83,03 Mar 2021
88.42025500000041,13H 37M 33S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49053,Wed,Mar,03,2021,137,171,55,534,131,134,59,540,ECOV2-B00206,591,201,62,29832,201,213,64,29711,213,210,64,29345,210,302,67,29951,302,13.83,03 Mar 2021
89.17424500000054,13H 37M 34S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49054,Wed,Mar,03,2021,142,159,55,534,114,134,59,540,ECOV2-B00206,592,203,63,29837,203,202,64,29701,202,268,69,29345,268,303,68,29950,303,13.82,03 Mar 2021
89.92390200000042,13H 37M 35S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49055,Wed,Mar,03,2021,139,154,56,534,112,131,61,540,ECOV2-B00206,593,191,63,29830,191,242,66,29698,242,192,62,29327,192,300,67,29940,300,13.82,03 Mar 2021
90.42595500000023,13H 37M 36S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49056,Wed,Mar,03,2021,123,156,56,534,101,124,59,540,ECOV2-B00206,594,173,60,29826,173,190,62,29705,190,165,60,29331,165,301,67,29939,301,13.83,03 Mar 2021
90.80752600000027,13H 37M 37S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49057,Wed,Mar,03,2021,112,139,56,534,95,109,59,540,ECOV2-B00206,595,151,59,29828,151,174,61,29701,174,151,58,29329,151,300,68,29935,300,13.82,03 Mar 2021
