pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,frame_sync,counter,chl_hi_gain_counts,chl_lo_gain_counts,chl_ltc_counts,chl_raw_counts,beta_700_hi_gain_counts,beta_700_lo_gain_counts,beta_700_ltc_counts,beta_700_raw_counts,chl2_hi_gain_counts,chl2_lo_gain_counts,chl2_ltc_counts,chl2_raw_counts,fdom_hi_gain_counts,fdom_lo_gain_counts,fdom_ltc_counts,fdom_raw_counts,v_main_volts,date
218.08250800000036,9H 29M 25S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34165,Thu,Mar,04,2021,48,93,56,535,62,53,57,ECOV2-B00206,1056,62,51,29185,62,117,53,29250,117,59,50,28422,59,327,71,29302,327,13.84,04 Mar 2021
218.71438900000047,9H 29M 26S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34166,Thu,Mar,04,2021,48,96,57,535,59,54,57,ECOV2-B00206,1057,64,51,29186,64,115,53,29237,115,60,50,28418,60,329,71,29310,329,13.83,04 Mar 2021
219.43068300000047,9H 29M 27S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34167,Thu,Mar,04,2021,52,100,56,535,63,52,51,ECOV2-B00206,1058,65,52,29190,65,114,54,29235,114,62,50,28425,62,323,70,29308,323,13.83,04 Mar 2021
220.09064200000037,9H 29M 28S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34168,Thu,Mar,04,2021,53,97,57,535,62,53,51,ECOV2-B00206,1059,65,51,29185,65,114,53,29237,114,64,50,28423,64,320,70,29311,320,13.83,04 Mar 2021
221.1533070000003,9H 29M 30S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34170,Thu,Mar,04,2021,57,102,57,535,63,58,57,ECOV2-B00206,1061,66,51,29187,66,120,55,29227,120,65,51,28420,65,321,71,29307,321,13.83,04 Mar 2021
221.67344900000037,9H 29M 31S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34171,Thu,Mar,04,2021,54,245,57,535,66,57,55,ECOV2-B00206,1062,64,52,29190,64,112,54,29235,112,63,51,28427,63,320,69,29315,320,13.83,04 Mar 2021
222.34404400000048,9H 29M 32S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34172,Thu,Mar,04,2021,51,93,56,535,50,65,54,ECOV2-B00206,1063,65,50,29184,65,114,54,29245,114,63,52,28423,63,321,71,29308,321,13.84,04 Mar 2021
222.34404400000048,9H 29M 32S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34172,Thu,Mar,04,2021,51,93,56,535,51,93,56,ECOV2-B00206,1063,65,50,29184,65,114,54,29245,114,63,52,28423,63,321,71,29308,321,13.84,04 Mar 2021
222.34404400000048,9H 29M 32S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34172,Thu,Mar,04,2021,51,93,56,535,63,55,54,ECOV2-B00206,1063,65,50,29184,65,114,54,29245,114,63,52,28423,63,321,71,29308,321,13.84,04 Mar 2021
223.14190900000054,9H 29M 33S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34173,Thu,Mar,04,2021,50,95,56,535,65,57,55,ECOV2-B00206,1064,66,52,29183,66,117,54,29229,117,63,50,28423,63,321,71,29314,321,13.83,04 Mar 2021
223.8797340000004,9H 29M 34S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34174,Thu,Mar,04,2021,50,102,56,535,59,52,51,ECOV2-B00206,1065,66,51,29184,66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
224.3503420000002,9H 29M 35S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34175,Thu,Mar,04,2021,53,97,57,535,61,50,55,ECOV2-B00206,1066,66,51,29182,66,113,55,29253,113,63,50,28420,63,322,71,29311,322,13.82,04 Mar 2021
224.69923200000025,9H 29M 36S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34176,Thu,Mar,04,2021,52,96,56,535,63,52,53,ECOV2-B00206,1067,65,51,29175,65,113,53,29231,113,63,51,28414,63,320,72,29311,320,13.83,04 Mar 2021
226.11779100000055,9H 29M 38S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34178,Thu,Mar,04,2021,57,98,57,535,NA,NA,NA,ECOV2-B00206,1069,66,52,29188,66,115,53,29233,115,64,51,28411,64,322,70,29315,322,13.84,04 Mar 2021
226.8673980000004,9H 29M 39S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34179,Thu,Mar,04,2021,52,99,57,535,65,59,54,ECOV2-B00206,1070,65,50,29183,65,123,54,29239,123,62,50,28413,62,323,70,29314,323,13.83,04 Mar 2021
227.43089500000033,9H 29M 40S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34180,Thu,Mar,04,2021,52,97,56,535,65,59,54,ECOV2-B00206,1071,79,52,29181,79,115,53,29231,115,62,50,28416,62,323,70,29313,323,13.83,04 Mar 2021
227.98581000000038,9H 29M 41S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34181,Thu,Mar,04,2021,52,95,56,535,63,58,54,ECOV2-B00206,1072,65,51,29182,65,121,53,29239,121,64,50,28412,64,322,70,29319,322,13.84,04 Mar 2021
228.64217900000045,9H 29M 42S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34182,Thu,Mar,04,2021,50,92,56,535,64,54,54,ECOV2-B00206,1073,65,50,29192,65,114,54,29238,114,61,50,28417,61,321,69,29317,321,13.83,04 Mar 2021
229.3224230000004,9H 29M 43S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34183,Thu,Mar,04,2021,47,96,57,535,61,50,50,ECOV2-B00206,1074,65,51,29184,65,123,54,29238,123,63,50,28413,63,326,69,29302,326,13.83,04 Mar 2021
229.91665100000034,9H 29M 44S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34184,Thu,Mar,04,2021,53,92,57,535,63,56,54,ECOV2-B00206,1075,63,50,29185,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
230.44296200000034,9H 29M 45S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34185,Thu,Mar,04,2021,52,96,56,535,63,55,55,ECOV2-B00206,1076,62,50,29179,62,122,55,29225,122,61,50,28416,61,324,71,29309,324,13.84,04 Mar 2021
231.02175100000042,9H 29M 46S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34186,Thu,Mar,04,2021,50,94,57,535,62,57,54,ECOV2-B00206,1077,64,51,29191,64,117,55,29232,117,60,50,28410,60,327,72,29308,327,13.83,04 Mar 2021
231.69547300000048,9H 29M 47S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34187,Thu,Mar,04,2021,50,63,55,29221,60,53,56,ECOV2-B00206,1078,63,50,29181,63,111,55,29221,111,59,50,28415,59,327,70,29310,327,13.84,04 Mar 2021
231.69547300000048,9H 29M 47S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34187,Thu,Mar,04,2021,60,53,56,542,60,53,56,ECOV2-B00206,1078,63,50,29181,63,111,55,29221,111,59,50,28415,59,327,70,29310,327,13.84,04 Mar 2021
232.38919600000042,9H 29M 48S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34188,Thu,Mar,04,2021,49,91,57,535,61,52,54,ECOV2-B00206,1079,63,50,29182,63,108,53,29222,108,61,50,28412,61,326,72,29313,326,13.82,04 Mar 2021
233.00423900000035,9H 29M 49S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34189,Thu,Mar,04,2021,50,90,58,535,62,50,54,ECOV2-B00206,1080,63,50,29178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04 Mar 2021
