pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,frame,frale_syn,sn,counter,counter_down,v_main,q_asummary,numerici_qa,hex_qa,beta700_wave,chl_lo_gain,chl_5_volt,chl_ltc,chl_raw,chl_micro_l,chl_hi_gain,chl_em_wave,chl_lo_gain_2,chl_5_volt_2,chl_ltc_2,chl_raw_2,chl_micro_l_2,chl_hi_gain_2,chl_em_wave_2,fdom_lo_gain,chl_5_volt_3,date,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
191.219,13H 31M 20.4789999999994S,13.8084,4.563118,2.3629,0.1467,1.7903439,13.79231,13.7801,38.5787,29.0035,3.5175,152.663,0,48680.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
190.218,13H 31M 21.4789999999994S,13.8077,4.563019,2.3633,0.1403,1.7900894999999999,13.793677,13.7795,38.579,29.0038,3.5172,152.65,0,48681.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
189.521,13H 31M 22.4789999999994S,13.8082,4.56311,2.364,0.1433,1.7897334,13.79231,13.7802,38.5797,29.0042,3.5175,152.665,0,48682.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
188.283,13H 31M 23.4789999999994S,13.8103,4.563277,2.3643,0.1463,1.7893264,13.789577,13.7825,38.5796,29.0037,3.5189,152.725,0,48683.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
186.695,13H 31M 24.4789999999994S,13.8269,4.565066,2.3657,0.1421,1.7889703,13.79436,13.7993,38.5806,29.0008,3.5229,152.9,0,48684.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
185.659,13H 31M 25.4789999999994S,13.8208,4.564235,2.3677,0.1563,1.7885124,13.79641,13.7933,38.5794,29.0012,3.5266,153.058,0,48685.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
184.392,13H 31M 26.4789999999994S,13.8284,4.565154,2.3688,0.1543,1.7880545,13.801877,13.8011,38.581,29.0008,3.5247,152.975,0,48686.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
183.144,13H 31M 27.4789999999994S,13.8429,4.566383,2.3692,0.1492,1.7875458,13.806661,13.8158,38.5786,28.9957,3.5235,152.927,0,48687.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
182.559,13H 31M 28.4789999999994S,13.8402,4.566071,2.37,0.1461,1.7875458,13.810078,13.8132,38.5786,28.9963,3.5285,153.141,0,48688.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
181.633,13H 31M 29.4789999999994S,13.8408,4.566009,2.3725,0.1397,1.7873932,13.812128,13.8139,38.5779,28.9956,3.5377,153.543,0,48689.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
180.452,13H 31M 30.4789999999994S,13.8451,4.566158,2.3755,0.1416,1.7861722,13.818961,13.8183,38.5755,28.9928,3.5409,153.682,0,48690.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
179.047,13H 31M 31.4789999999994S,13.849,4.566296,2.3773,0.1346,1.7855108,13.824427,13.8225,38.5735,28.9903,3.5417,153.718,0,48691.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
177.914,13H 31M 32.4789999999994S,13.8468,4.56608,2.3789,0.1385,1.7842898,13.828527,13.8205,38.5742,28.9913,3.5439,153.813,0,48692.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
176.961,13H 31M 33.4789999999994S,13.8471,4.56605,2.3802,0.1436,1.7834249,13.828527,13.8209,38.574,28.9911,3.5481,153.993,0,48693.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
175.581,13H 31M 34.4789999999994S,13.8489,4.566044,2.3825,0.1525,1.7823565,13.828527,13.8229,38.5728,28.9897,3.5512,154.129,0,48694.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
174.039,13H 31M 35.4789999999994S,13.853,4.566069,2.3836,0.1543,1.781339,13.82921,13.8273,38.5695,28.9862,3.5516,154.147,0,48695.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
173.226,13H 31M 36.4789999999994S,13.8517,4.565981,2.3853,0.1472,1.7810338,13.82921,13.8261,38.5704,28.9872,3.5544,154.266,0,48696.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18 1 2021,NA,NA,NA,NA,NA,NA,NA,NA,18,1,2021
