pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
150.411,9H 59M 39.4789999999994S,13.875,4.570291,2.6371000000000002,0.205,1.7459299,13.861324,13.8527,38.5981,29.0029,4.0134,174.189,0,35979.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.525,9H 59M 40.4789999999994S,13.8746,4.570251,2.6379,0.2067,1.7456756,13.861324,13.8523,38.5982,29.003,4.0102,174.048,0,35980.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.407,9H 59M 41.4789999999994S,13.8752,4.570292,2.6368,0.2056,1.7456247,13.859958,13.8529,38.598,29.0028,4.0057,173.852,0,35981.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.355,9H 59M 42.4789999999994S,13.8752,4.570295,2.6364,0.1991,1.74593,13.862007,13.8529,38.598,29.0028,4.0076,173.934,0,35982.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.533,9H 59M 43.4789999999994S,13.8749,4.570285,2.6366,0.1903,1.7457265,13.861324,13.8526,38.5982,29.003,4.0074,173.929,0,35983.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.502,9H 59M 44.4789999999994S,13.875,4.570278,2.6361,0.2075,1.7460826,13.862007,13.8527,38.598,29.0028,4.007,173.907,0,35984.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.298,9H 59M 45.4789999999994S,13.8752,4.570294,2.6369,0.2068,1.7458791,13.861324,13.8529,38.5981,29.0028,4.014,174.21,0,35985.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.433,9H 59M 46.4789999999994S,13.8752,4.570292,2.639,0.1994,1.7456756,13.861324,13.8529,38.598,29.0028,4.0158,174.291,0,35986.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.614,9H 59M 47.4789999999994S,13.8745,4.570248,2.6385,0.2073,1.74593,13.859958,13.8522,38.5981,29.003,4.0085,173.974,0,35987.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.417,9H 59M 48.4789999999994S,13.8752,4.5703,2.6373,0.2225,1.7458282,13.860641,13.8529,38.598,29.0027,4.0082,173.959,0,35988.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.232,9H 59M 49.4789999999994S,13.8754,4.570303,2.6381,0.2225,1.7456756,13.860641,13.8531,38.598,29.0027,4.0142,174.22,0,35989.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.461,9H 59M 50.4789999999994S,13.8752,4.570302,2.6385,0.2126,1.7457773,13.861324,13.8529,38.598,29.0027,4.0093,174.008,0,35990.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
150.576,9H 59M 51.4789999999994S,13.8749,4.57029,2.637,0.2069,1.74593,13.860641,13.8526,38.5981,29.0029,4.0061,173.869,0,35991.479,NA,Oct,12,2021,NA,NA,NA,NA,NA,NA,NA,12 Oct 2021
