bouss,ctd_number,way,depth,year,pres,temp,conductivity,fluo_chl,fluo_flbb,bb700,cdom,fluo_440,fluo_470,fluo_532,month,f440_f470,f532_f470,prof_id,date,chl_c1_c2,chl_c3,peri,but,fuco,neox,prasi,viola,hex,diad,allo,diat,zea,lutein,dv_chlb,chlb,t_chlb,dv_chla,chla,t_chla,chla_470,chla_440,depth_id,campagne_id,pico_pk,pico_e,syn,proch,pico_e1,pico_e2,pico_e3,nano_pk,nano_e,crypto_like,nano_e1,nano_e2,nsk_num,ct,poc,pic
232,1,asc,51,2021,51.29452173999999,13.66198125,4.526213104166667,1.5237364583333333,275.1826923076923,207.4903846153846,55.89423076923077,219.22115384615384,298.1442307692308,73.88461538461539,7,0.7352855806753313,0.24781500951398072,B_232_1_asc,2021-07-12,0.3535,0.2564,0.0265,0.0738,1.2294,0.0347,0.029,0.0106,0.334,0.058,0.0139,0,0.0261,0.0083,0,NA,0.232,0,2.3613,2.3613,2.0870096153846154,1.5345480769230768,sdcm,B_232,39.6156537065628,5.70940843668117,25.0821316730408,8.2616625798444,3.21021571021571,2.46735587644679,0.00530614166977803,2.88170341215037,2.56623495899568,0.184819901848199,2.179600221796,0.271918936052523,1,89.6472727272727,124.126436781609,0
233,3,asc,5,2021,4.92379338461538,23.82644382022472,5.633437168539325,0.1714932584269663,54.433734939759034,131.26506024096386,53.144578313253014,54.81609195402299,58.49425287356322,52.804597701149426,NA,0.937119276871684,0.9027313814108864,B_233_3_asc,2021-08-18,0.0113,0.0081,0.0069,0.0079,0.0114,0.0012,7e-4,0.0017,0.0372,0.0213,0,0.0077,0.0214,0.0018,0,NA,0.0136,0,0.1319,0.1319,0.40945977011494256,0.38371264367816094,surf,B_233,20.8370141528562,1.10422903026601,19.2974640625815,0.0637055209768853,0.743231078063662,0.323836398299167,0,1.19908509880516,0.846475486047572,0.0212415429372038,0.763633468592477,0.066910860252192,3,55.9636363636364,44.1563636363636,11.8072727272727
233,3,asc,40,2021,40.14903695762711,13.703718181818182,4.531755272727272,1.2124145454545454,264.5892857142857,185.30357142857144,55.839285714285715,204.73333333333332,266.5593220338983,78.37288135593221,NA,0.7680591763633666,0.2940166592484263,B_233_3_asc,2021-08-18,0.1962,0.2466,0.0294,0.1283,0.1209,0.0257,0.037,0.0111,0.7538,0.0467,0.0138,0,0.0809,0.0085,0.0582,NA,0.3088,0.0873,1.4365,1.5237,1.865915254237288,1.4331333333333334,dcm,B_233,128.908838383838,4.72718855218855,63.9020286195286,59.2438888888889,3.16031144781145,1.11540404040404,0.424915824915825,4.05501054671221,3.54202728477874,0.233656972309242,3.20110052063661,0.250650206659005,2,85.4872727272727,92.16,0
233,3,asc,50,2021,50.167180075,13.651395454545456,4.527910613636363,0.8105704545454545,186.46875,177.26666666666668,56,141.05882352941177,178.7058823529412,64.15151515151516,NA,0.7893350888742593,0.35897819538372533,B_233_3_asc,2021-08-18,0.2069,0.2284,0.021,0.0684,0.6562,0.0123,0.0108,0.0059,0.1797,0.0327,0.0111,0,0.0106,0,0.0148,NA,0.1369,0,1.2506,1.2506,1.2509411764705884,0.9874117647058824,sdcm,B_233,21.7556902356902,1.07822390572391,19.8382575757576,0.0265572390572391,0.807340067340068,0.233703703703704,0,0.921005050505051,0.80096632996633,0.0201835016835017,0.738291245791246,0.0552390572390573,1,38.5163636363636,40.12,0
234,3,asc,5,2021,5.260653898138006,23.7036781938326,5.624041202643172,0.2762665198237885,65.71253071253071,131.8132678132678,61.578163771712155,59.49302325581395,65.25116279069768,59.674418604651166,NA,0.9117542233943972,0.914534179200228,B_234_3_asc,2021-09-13,0.0126,0.0074,0.0053,0.0102,0.0065,0,0,0.0016,0.0421,0.0165,0.0019,0.0043,0.0357,0.0015,0,NA,0.0142,0.0101,0.1304,0.1405,0.45675813953488376,0.41645116279069766,surf,B_234,53.4915909090909,0.855143097643098,23.2110269360269,24.9053787878788,0.605505050505051,0.201835016835017,0.0212457912457912,1.16946386169464,1.01757164350905,0.0233680335670137,0.914539859145399,0.0924099509240995,3,46.1054545454545,40.4,5.70545454545454
234,3,asc,40,2021,40.42040331491712,13.786398479087453,4.541579893536122,0.8195498098859315,206.570281124498,149.04471544715446,56.91358024691358,167.24334600760457,210.6145038167939,70.29230769230769,NA,0.7940732617022598,0.33374865651917535,B_234_3_asc,2021-09-13,0.1148,0.1042,0.0254,0.0859,0.0393,0.0102,0.008,0.0056,0.3593,0.0235,0.0093,0,0.1108,0.0038,0.0284,NA,0.1636,0.0865,0.7422,0.8288,1.4743015267175574,1.170703422053232,dcm,B_234,160.983851508589,1.70412268613168,71.5784616109454,85.1583551658515,0.796319012211066,0.801627805625807,0.0902494880505875,2.82512521064811,2.34612841741416,0.158249494882168,2.01369827044692,0.259146823833886,2,74.5054545454545,78.1018181818182,0
234,3,asc,60,2021,60.23293657142847,13.6837,4.535268,0.596125,154.33333333333334,130.66666666666666,57.666666666666664,115.5,153,61,NA,0.7549019607843137,0.3986928104575164,B_234_3_asc,2021-09-13,0.0563,0.076,0.0072,0.0658,0.1341,0.0064,0.0075,0.0043,0.1089,0.0117,0.0039,0,0.0069,0,0.0099,NA,0.0822,0,0.4397,0.4397,1.071,0.8085,sdcm,B_234,9.06741915237668,3.13218811469686,3.34984864470122,2.29870754858261,1.2210224853903,1.91116562930656,0,1.11115488215488,0.953936026936027,0.0297441077441078,0.857267676767677,0.0807340067340068,1,37.0654545454545,25.2836363636364,11.7818181818182
235,2,asc,5,2021,5.370275887133182,19.4216675990676,5.1327959627039625,0.29424149184149184,70.26172839506172,138.62716049382715,61.6783042394015,62.36829836829837,67.84382284382285,58.032863849765256,NA,0.9192922178319876,0.8553890600085653,B_235_2_asc,2021-10-12,0.0159,0.0076,0.0028,0.0134,0.0076,0.0012,0,0.002,0.0464,0.0162,9e-4,0.0019,0.0425,0.0012,9e-4,NA,0.0106,0.0166,0.1405,0.1571,0.47490675990676,0.4365780885780886,surf,B_235,76.941632996633,0.902946127946128,27.1946127946128,45.3172727272727,0.647996632996633,0.207146464646465,0,1.24687857041386,1.09712569270658,0.0254898515246446,1.02384236957322,0.0658487831053318,3,49.4545454545455,45.3054545454546,4.1490909090909
235,2,asc,54,2021,53.89170449999989,13.763133333333332,4.536018333333334,0.5747333333333333,123.66666666666669,132.66666666666666,55.333333333333336,100.33333333333331,126.66666666666669,55.333333333333336,NA,0.7921052631578946,0.4368421052631579,B_235_2_asc,2021-10-12,0.0841,0.0882,0.0097,0.0845,0.0901,0.0112,0.0096,0.0053,0.1689,0.0144,0.0097,0,0.0724,0.0034,0.1422,NA,0.2817,0.142,0.5481,0.6901,0.8866666666666668,0.7023333333333333,dcm,B_235,111.779180415544,5.54491804491805,10.4424868061232,94.3591173136628,3.11470516015971,2.36123304305123,0.0106122833395561,1.67841750841751,1.31405218855219,0.14553367003367,1.1600202020202,0.116851851851852,2,45.0509090909091,40.2363636363636,4.81454545454545
235,2,asc,80,2021,80.07610461784897,13.708458581235698,4.5377440892448515,0.3152086956521739,78.3359173126615,113.04392764857882,61.38961038961039,72.65365853658537,81.37073170731708,59.91154791154791,NA,0.8928721299682273,0.7362788395100607,B_235_2_asc,2021-10-12,0.0315,0.0441,0.0015,0.0476,0.0576,0.0046,0.005,0.0024,0.0587,0.0056,9e-4,0,0.0076,6e-4,0.0725,NA,0.127,0.0459,0.2333,0.2792,0.5695951219512195,0.5085756097560976,sdcm,B_235,22.0041906836715,2.60401485314116,2.57219389770563,16.2021698092592,1.03418105165484,1.57513729405891,0,0.685108256851083,0.558708438920418,0.025492400254924,0.504537088378704,0.0435495171021619,1,24.2581818181818,19.4981818181818,4.75999999999999
