date,bouss,depth,fluo_440,fluo_470,fluo_532,f440_f470,f532_f470,bb700,cdom,chl_c1_c2,chl_c3,peri,but,fuco,neox,prasi,viola,hex,diad,allo,diat,zea,lutein,dv_chlb,chlb,t_chlb,dv_chla,chla,t_chla,sumpig,cp,CA1,CA2,CA3,f532_f440,cluster
2021-03-03,228,70,149.35849056603774,174.6346153846154,62.333333333333336,0.8552628024924527,0.3569357266086701,180.33333333333337,55.52941176470589,0.1522,0.0851,0.0299,0.0499,0.196,0,0.0304,0.0068,0.3044,0.0436,0.055,0.0038,0.0275,0,0,0.0708,0.0708,0,1.0506,1.0506,2.106,0.22536889,0.5277184026703342,-0.14125550754367092,-0.22696503533425208,0.4173404076132727,2
2021-03-03,228,60,162.05172413793105,201.27586206896552,73.42105263157895,0.8051224944320713,0.3647782296240859,192.47368421052633,56.357142857142854,0.1743,0.0883,0.0304,0.0536,0.3564,0,0.0349,0.0078,0.312,0.0542,0.056,0.0041,0.0275,0,0,0.0599,0.0599,0,1.3528,1.3644,2.6238,0.266835556666667,0.7057719856168355,-0.25906791540946567,0.4689270288167288,0.4530717153560569,2
2021-03-03,228,50,188.9620253164557,230.48101265822783,67.83544303797468,0.819859402460457,0.2943211775043937,207.14864864864865,62.28767123287671,0.2292,0.1238,0.0507,0.0671,0.4285,0,0.0391,0.0089,0.3976,0.0669,0.0729,0.005,0.0306,0.0033,0,0.0751,0.0751,0,1.7093,1.7233,3.322,0.321733612083333,0.695674333629927,-0.26867149594730594,0.3624122068170487,0.35898981779206857,2
2021-03-03,228,40,217,275.5348837209302,81.42857142857143,0.787559081701553,0.29552908266615224,208.390243902439,56.65,0.2764,0.1417,0.0758,0.0811,0.4516,0,0.0443,0.0111,0.5046,0.0785,0.0971,0,0.0319,0.0032,0,0.088,0.088,0,1.9937,2.0181,3.9034,0.373148334166667,0.6661671651993128,-0.26141497775313904,0.15565935680818224,0.37524687294272546,2
2021-03-03,228,30,276.3333333333333,352.21794871794873,77.66233766233766,0.7845521057037819,0.220495116574904,255.73684210526315,439.2133333333333,0.3893,0.1369,0.1151,0.0948,0.5572,0,0.0501,0.0184,0.6636,0.1166,0.1514,0,0.0374,0.0048,0,0.0991,0.0991,0,2.5752,2.6223,5.057,0.419325834166667,0.6916565982130207,-0.23020129669024902,0.14765945270662129,0.28104585402534743,2
2021-03-03,228,20,290.8529411764706,357.030303030303,78.18181818181819,0.8146449718913199,0.21897810218978103,252.1764705882353,83.29411764705883,0.3998,0.1305,0.1278,0.0992,0.5719,0,0.0531,0.0223,0.6916,0.1479,0.1733,0,0.0404,0.0059,0,0.1121,0.1121,0,2.7382,2.7838,5.3595999999999995,0.443745834166667,0.6904966096524127,-0.1971759052320992,0.1307403719366683,0.2688018827163331,2
2021-03-03,228,10,322.2682926829268,372.3414634146341,93.17948717948718,0.8655181448971571,0.2502527822847488,261.3783783783784,57.054054054054056,0.3736,0.1211,0.1169,0.0883,0.5518,0,0.0467,0.0262,0.6213,0.2114,0.1708,0.019,0.0421,0.0078,0,0.1037,0.1037,0,2.5209,2.5749,5.0756,0.441433334166667,0.7195452780041695,-0.15445853354707284,0.2027502306361516,0.2891363788964637,2
2021-03-03,228,5,394.4055944055944,522.418439716312,278.2202857142857,0.7549610894664587,0.5325621466680371,234.71875,56.65625,0.3198,0.1157,0.1016,0.0826,0.4566,0,0.0376,0.0214,0.5735,0.2565,0.1632,0.0322,0.0403,0.0093,0,0.0825,0.0825,0,2.2386,2.2791,4.5719,0.435308334166667,0.713343495787823,-0.0931290200577553,0.11308258463139129,0.705416681864235,2
2021-03-04,228,80,66.375,70.025,66.8,0.9478757586576222,0.9539450196358442,111,69.48648648648648,0.0079,0.0076,0.0015,0.0062,0.0267,0.0014,0.0019,5e-4,0.0159,0.0034,0.0016,3e-4,0.0042,0,0,0.0081,0.0081,0.0024,0.0889,0.0913,0.17850000000000002,0.055973335,0.3476542761942552,-0.18374808438271456,0.4106337734126417,1.0064030131826742,2
2021-03-04,228,70,60.825,63.075,54.75,0.9643281807372176,0.868014268727705,107.5897435897436,56.38461538461539,0.0113,0.0109,0.0021,0.0083,0.0328,0.002,0.003,6e-4,0.0203,0.0043,0.0022,6e-4,0.0062,0,0,0.0123,0.0123,0.0036,0.1167,0.1204,0.2373,0.057918335,0.26407037667566263,-0.1269646890450951,0.27167293624658156,0.9001233045622687,2
2021-03-04,228,60,60.47058823529411,64,54.60606060606061,0.9448529411764706,0.853219696969697,103.59375,56.354838709677416,0.0119,0.0126,0.0027,0.0103,0.0341,0.0021,0.0034,7e-4,0.0208,0.0042,0.0021,0,0.0055,0,0,0.0169,0.0169,0.0042,0.1256,0.1298,0.2571,0.058368335,0.20119213445944675,-0.2094928028461638,0.036694406846417456,0.9030185119679285,2
2021-03-04,228,50,71.59677419354838,72.65,61.78333333333333,0.9855027418244788,0.8504244092681806,104.61818181818182,56.53703703703704,0.0135,0.0132,0.0054,0.0109,0.0323,0.0021,0.0037,7e-4,0.0217,0.0045,0.0019,0,0.0054,0,0,0.0183,0.0183,0.0039,0.1259,0.1298,0.2634,0.060698335,0.19449182744375004,-0.212075733155726,-0.15445281238016115,0.8629345948787265,2
2021-03-04,228,40,68.6470588235294,71.58823529411765,53.88235294117647,0.9589153656532456,0.752670501232539,110.41176470588236,56.1764705882353,0.0667,0.0556,0.0102,0.02,0.203,0.0051,0.0118,0.0024,0.0522,0.0184,0.0043,0.001,0.0127,0,0.0024,0.039,0.0414,0.0089,0.5203,0.5292,1.034,0.113918335,0.6396352900283141,-0.5119351104128225,1.285098256946801,0.7849185946872322,2
2021-03-04,228,30,104,123,60.5,0.8455284552845529,0.491869918699187,129,56,0.2436,0.1928,0.0233,0.0423,0.6566,0.013,0.0311,0.0054,0.2141,0.0557,0.02,0.0036,0.0289,0,0.0085,0.0933,0.1018,0,1.682,1.682,3.3142,0.236323335,0.8087460941402493,-0.555182664878379,1.3756610659373472,0.5817307692307693,2
2021-03-04,228,20,267.72549019607845,329,87,0.8137552893497826,0.26443768996960487,224.68085106382975,56.95744680851064,0.3418,0.2321,0.0406,0.0632,0.788,0.0191,0.0429,0.0097,0.374,0.0781,0.0418,0.0055,0.0328,0.0032,0.0082,0.114,0.1222,0,2.1691,2.1691,4.3641,0.356253335,0.7801223873538814,-0.5174338491824327,1.030192937635062,0.3249597187637322,2
2021-03-04,228,10,368.4827586206897,453.13793103448273,88.03448275862068,0.8131801232782894,0.1942774522486873,244.8846153846154,56.76923076923077,0.5114,0.2443,0.0684,0.0858,0.9531,0.0297,0.0543,0.0226,0.6334,0.1712,0.1341,0.0115,0.0452,0.0062,0,0.1718,0.1718,0,3.0403,3.1494,6.2924,0.531772779833333,0.7760416427391437,-0.36595610078823304,0.6534593817102933,0.2389107243121841,2
2021-03-04,228,5,350.81481481481484,437.48148148148147,85.38461538461539,0.8018963765662039,0.19517309645992345,254.83333333333337,54.625,0.4963,0.2146,0.0716,0.0812,0.9351,0.0275,0.048,0.0269,0.64,0.2254,0.1549,0.0194,0.0492,0.0092,0,0.1618,0.1618,0,3.1349,3.2237,6.3848,0.532944446666667,0.7857173507894747,-0.3004443154752287,0.656684325385677,0.24338942307692307,2
2021-05-14,230,80,57.666666666666664,50.333333333333336,53.333333333333336,1.1456953642384105,1.0596026490066226,88.5,56,0.0016,0.0023,0,0.0035,0.0059,0,0,0,0.0018,4e-4,0,0,7e-4,0,0,7e-4,7e-4,0,0.0146,0.0146,0.0315,0.059045,0.47520677264530803,-0.42250181428040046,0.6708469847743068,0.9248554913294799,2
