pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
379.89,11H 27M 21.4789999999994S,13.6102,4.555946,2.4305,0.1862,1.8148148,13.591996,13.5542,38.6257,29.0883,3.7193,161.408,0,41241.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
379.166,11H 27M 22.4789999999994S,13.611,4.556016,2.4312,0.1871,1.8149165,13.588577,13.555,38.6259,29.0883,3.7215,161.506,0,41242.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
378.441,11H 27M 23.4789999999994S,13.6114,4.556026,2.433,0.176,1.8148148,13.59268,13.5556,38.6258,29.0881,3.724,161.614,0,41243.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
378.019,11H 27M 24.4789999999994S,13.6112,4.555992,2.432,0.1712,1.8146622,13.594732,13.5554,38.626,29.0883,3.7109,161.045,0,41244.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
377.514,11H 27M 25.4789999999994S,13.6111,4.555955,2.43,0.1767,1.8146113,13.595416,13.5555,38.6259,29.0881,3.7129,161.132,0,41245.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
376.778,11H 27M 26.4789999999994S,13.6118,4.556019,2.4307,0.1747,1.8148148,13.593364,13.5562,38.6262,29.0882,3.7155,161.242,0,41246.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
376.058,11H 27M 27.4789999999994S,13.6125,4.556064,2.4303,0.1775,1.8148657,13.597468,13.557,38.6262,29.0881,3.7147,161.21,0,41247.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
375.498,11H 27M 28.4789999999994S,13.613,4.556113,2.4309,0.1778,1.8150183,13.594048,13.5576,38.6264,29.0882,3.7166,161.292,0,41248.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
375.037,11H 27M 29.4789999999994S,13.6136,4.55617,2.4311,0.1737,1.8149166,13.594732,13.5583,38.6265,29.0881,3.717,161.308,0,41249.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
374.345,11H 27M 30.4789999999994S,13.6143,4.556221,2.4323,0.177,1.8146113,13.598836,13.5591,38.6266,29.088,3.7234,161.588,0,41250.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
373.571,11H 27M 31.4789999999994S,13.6146,4.556229,2.4339,0.1736,1.8146622,13.598836,13.5595,38.6268,29.088,3.7198,161.429,0,41251.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
373.044,11H 27M 32.4789999999994S,13.6144,4.556203,2.4323,0.1642,1.8148148,13.598152,13.5594,38.6269,29.0881,3.7113,161.061,0,41252.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
372.541,11H 27M 33.4789999999994S,13.6146,4.556204,2.431,0.1788,1.8151709,13.598152,13.5597,38.6269,29.0881,3.7121,161.098,0,41253.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
371.84,11H 27M 34.4789999999994S,13.6153,4.556248,2.4318,0.1857,1.8150183,13.598152,13.5605,38.6269,29.0879,3.7152,161.233,0,41254.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
371.217,11H 27M 35.4789999999994S,13.6157,4.556271,2.4306,0.1845,1.8149166,13.598836,13.5609,38.6271,29.088,3.7086,160.943,0,41255.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
370.815,11H 27M 36.4789999999994S,13.6161,4.556305,2.4303,0.1826,1.8151201,13.598836,13.5614,38.6272,29.088,3.7115,161.068,0,41256.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
370.265,11H 27M 37.4789999999994S,13.6179,4.556526,2.4306,0.1818,1.8150692,13.600204,13.5633,38.6278,29.088,3.7131,161.14,0,41257.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
369.648,11H 27M 38.4789999999994S,13.6198,4.556731,2.4313,0.1814,1.8146113,13.598836,13.5653,38.628,29.0877,3.7185,161.373,0,41258.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
369.158,11H 27M 39.4789999999994S,13.6204,4.556784,2.4335,0.1745,1.81512,13.598836,13.566,38.6281,29.0877,3.7212,161.491,0,41259.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
368.773,11H 27M 40.4789999999994S,13.6203,4.556748,2.4337,0.1788,1.814713,13.59952,13.5659,38.6281,29.0877,3.716,161.266,0,41260.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
368.183,11H 27M 41.4789999999994S,13.6222,4.556976,2.4333,0.1783,1.8150692,13.598836,13.5679,38.6286,29.0876,3.7164,161.283,0,41261.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
367.553,11H 27M 42.4789999999994S,13.6242,4.557204,2.434,0.1732,1.81512,13.602255,13.57,38.629,29.0875,3.7192,161.403,0,41262.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
