pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,day_name,month,day,year,fluo_flbb,bb700,cdom,echov1,fluo_440,fluo_470,fluo_532,date
175.915,13H 56M 38.4789999999994S,13.838,4.572594,2.5245,0.1894,1.7875967,13.82716,13.812,38.6458,29.0486,3.7922,164.578,0,50198.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
176.329,13H 56M 39.4789999999994S,13.8392,4.572874,2.5232,0.1764,1.7880037,13.828527,13.8131,38.647,29.0493,3.7886,164.424,0,50199.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
176.952,13H 56M 40.4789999999994S,13.8426,4.573388,2.5221,0.1641,1.788258,13.828527,13.8164,38.6483,29.0496,3.7872,164.363,0,50200.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
177.666,13H 56M 41.4789999999994S,13.8447,4.573737,2.5208,0.1565,1.7881563,13.83126,13.8183,38.6492,29.0499,3.7823,164.147,0,50201.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
178.157,13H 56M 42.4789999999994S,13.8458,4.573927,2.5194,0.1537,1.788665,13.829894,13.8194,38.6496,29.05,3.7841,164.225,0,50202.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
178.557,13H 56M 43.4789999999994S,13.8477,4.57421,2.5197,0.1636,1.7884107,13.830577,13.8213,38.6502,29.05,3.7856,164.293,0,50203.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
179.16,13H 56M 44.4789999999994S,13.8491,4.574465,2.5189,0.1819,1.7887159,13.829894,13.8225,38.6509,29.0503,3.7791,164.009,0,50204.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
179.79,13H 56M 45.4789999999994S,13.8496,4.574576,2.5166,0.1726,1.7890212,13.836043,13.8229,38.6512,29.0505,3.7747,163.82,0,50205.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
180.381,13H 56M 46.4789999999994S,13.8495,4.574592,2.5159,0.1665,1.7894791,13.83946,13.8227,38.6512,29.0505,3.7763,163.89,0,50206.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
180.99,13H 56M 47.4789999999994S,13.8497,4.574646,2.5148,0.1724,1.7898352,13.838093,13.8229,38.6512,29.0505,3.776,163.876,0,50207.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
181.471,13H 56M 48.4789999999994S,13.8494,4.574687,2.5154,0.1626,1.7900387,13.844926,13.8225,38.6516,29.0509,3.7807,164.08,0,50208.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
181.948,13H 56M 49.4789999999994S,13.8501,4.574823,2.5158,0.1613,1.7900894999999999,13.844926,13.8232,38.652,29.0511,3.7787,163.994,0,50209.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA NA NA"
