pres,time,temp,conductivity,sbeox0v,fluo_chl,upoly0,upoly1,potemp,sal00,sigma,sbeox_ml,sbeox_mm,flag,second,fluo_flbb,bb700,cdom,echov1,date,fluo_440,fluo_470,fluo_532,echo3x,day,month,year
42.238,11H 18M 12.4789999999994S,13.7579,4.534467,3.1796,2.1231,1.591626,13.747886,13.7517,38.4246,28.8902,5.0507,219.229,0,40692.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.209,11H 18M 13.4789999999994S,13.758,4.534457,3.1791,2.1254,1.5918804,13.747886,13.7518,38.4245,28.8901,5.0552,219.424,0,40693.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.294,11H 18M 14.4789999999994S,13.7587,4.534533,3.1808,2.124,1.592033,13.747886,13.7525,38.4245,28.8899,5.0606,219.662,0,40694.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.26,11H 18M 15.4789999999994S,13.7585,4.534513,3.1816,2.1269,1.5920839,13.74857,13.7522,38.4245,28.89,5.0584,219.566,0,40695.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.936,11H 18M 16.4789999999994S,13.7596,4.534608,3.1807,2.1332,1.5919821,13.75062,13.7535,38.4244,28.8897,5.05,219.198,0,40696.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.063,11H 18M 17.4789999999994S,13.7597,4.534597,3.1788,2.1263,1.5919312,13.748569,13.7535,38.4242,28.8895,5.0501,219.204,0,40697.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.5,11H 18M 18.4789999999994S,13.7564,4.534341,3.1793,2.1211,1.5918295,13.747886,13.7502,38.4248,28.8907,5.0581,219.553,0,40698.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.388,11H 18M 19.4789999999994S,13.7575,4.534437,3.1815,2.1027,1.5918804,13.74857,13.7513,38.4247,28.8904,5.0665,219.915,0,40699.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
41.994,11H 18M 20.4789999999994S,13.7598,4.534615,3.1843,2.1158,1.5919312,13.74857,13.7536,38.4243,28.8895,5.0658,219.887,0,40700.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
42.014,11H 18M 21.4789999999994S,13.7598,4.534616,3.1827,2.1303,1.5918295,13.747886,13.7536,38.4242,28.8895,5.0534,219.35,0,40701.479,NA,NA,NA,NA,12 7 2021,NA,NA,NA,NA,12,7,2021
