date	lon	lat	pressure	Wt	Wpt	sal	gamma	oxygen.1	oxygen.2	fluo.r	c
20210514161700	7.90661666666667	43.3753333333333	90	13.7074	13.6942	38.5687	29.0142	3.5769	155.238	0.1835	0.0576
20210514161700	7.90661666666667	43.3753333333333	91	13.7139	13.7005	38.5714	29.0149	3.5622	154.601	0.1893	0.0574
20210514161700	7.90661666666667	43.3753333333333	92	13.718	13.7045	38.5748	29.0167	3.5545	154.269	0.1809	0.0573
20210514161700	7.90661666666667	43.3753333333333	93	13.7191	13.7054	38.5762	29.0176	3.5425	153.746	0.1744	0.0574
20210514161700	7.90661666666667	43.3753333333333	94	13.7208	13.707	38.5771	29.018	3.5413	153.695	0.1728	0.0573
20210514161700	7.90661666666667	43.3753333333333	95	13.722	13.7081	38.5775	29.018	3.5318	153.282	0.1779	0.0575
20210514161700	7.90661666666667	43.3753333333333	96	13.7228	13.7087	38.578	29.0183	3.5249	152.985	0.1837	0.0572
20210514161700	7.90661666666667	43.3753333333333	97	13.7248	13.7105	38.5793	29.0189	3.5235	152.92	0.1738	0.057
20210514161700	7.90661666666667	43.3753333333333	98	13.7266	13.7123	38.5807	29.0197	3.5215	152.834	0.1745	0.0573
20210514161700	7.90661666666667	43.3753333333333	99	13.7275	13.713	38.5816	29.0202	3.5181	152.69	0.1678	0.0572
20210514161700	7.90661666666667	43.3753333333333	100	13.7282	13.7135	38.5823	29.0206	3.5143	152.522	0.1685	0.0572
20210514161700	7.90661666666667	43.3753333333333	101	13.7287	13.7139	38.5829	29.021	3.5157	152.583	0.1717	0.0572
20210514161700	7.90661666666667	43.3753333333333	102	13.7297	13.7147	38.5836	29.0213	3.5133	152.48	0.1754	0.0571
20210514161700	7.90661666666667	43.3753333333333	103	13.7323	13.7171	38.5852	29.022	3.5103	152.349	0.1825	0.0572
20210514161700	7.90661666666667	43.3753333333333	104	13.7334	13.7181	38.5853	29.022	3.5039	152.07	0.1778	0.0571
